iter	Passed	Remaining
0	1	105
1	1	97
2	3	98
3	4	101
4	5	100
5	6	96
6	7	94
7	8	92
8	9	92
9	10	90
10	11	89
11	12	88
12	12	86
13	14	86
14	15	86
15	16	84
16	17	83
17	18	83
18	19	83
19	20	82
20	21	80
21	22	79
22	23	78
23	24	77
24	25	75
25	26	74
26	27	73
27	28	73
28	29	72
29	30	71
30	31	70
31	32	69
32	34	69
33	35	68
34	36	66
35	36	65
36	37	64
37	39	63
38	40	62
39	41	61
40	41	60
41	42	58
42	43	57
43	44	56
44	45	55
45	46	54
46	47	53
47	49	53
48	50	52
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	57	44
56	58	43
57	59	43
58	60	41
59	61	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	74	27
73	75	26
74	77	25
75	78	24
76	79	23
77	79	22
78	80	21
79	81	20
80	82	19
81	84	18
82	85	17
83	86	16
84	87	15
85	88	14
86	89	13
87	90	12
88	91	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	98	4
96	100	3
97	100	2
98	102	1
99	103	0
